name,artist,album,popularity,track_id,id,energy,tempo,danceability,loudness,country
L’AMOUR DE MA VIE,Billie Eilish,HIT ME HARD AND SOFT,85,6fPan2saHdFaIHuTSatORv,6fPan2saHdFaIHuTSatORv,0.392,145.104,0.467,-9.355,United States
neo roneo,rusowsky,neo roneo,65,7zoVtzzASRtacCvgQKLFaS,7zoVtzzASRtacCvgQKLFaS,0.374,107.044,0.746,-11.094,Spain
CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,90,7BRD7x5pt8Lqa1eGYC4dzj,7BRD7x5pt8Lqa1eGYC4dzj,0.425,110.015,0.7,-12.531,United States
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,99,6dOtVTDdiauQNBQEDOtlAB,6dOtVTDdiauQNBQEDOtlAB,0.507,104.978,0.747,-10.171,United States
THE DINER,Billie Eilish,HIT ME HARD AND SOFT,81,1LLUoftvmTjVNBHZoQyveF,1LLUoftvmTjVNBHZoQyveF,0.386,125.017,0.857,-9.761,United States
GATA,Ralphie Choo,SUPERNOVA,52,3Y8Y9GWlUBTTEY6ydINRtx,3Y8Y9GWlUBTTEY6ydINRtx,0.528,95.108,0.749,-7.83,Spain
El camino,DELLAFUENTE,Lágrimas pa otro día,52,6x5gl9msgjsqub1hy7Iq3k,6x5gl9msgjsqub1hy7Iq3k,0.699,87.946,0.803,-6.169,Spain
TRANKY FUNKY,Trueno,EL ÚLTIMO BAILE,72,5XOz9c4Enw0fzyIFZRHds8,5XOz9c4Enw0fzyIFZRHds8,0.736,109.99,0.875,-4.174,Argentina
JUAN SALVADOR GAVIOTA,Ralphie Choo,SUPERNOVA,38,5l2STIhKgH7UqyWwQr5i5E,5l2STIhKgH7UqyWwQr5i5E,0.561,81.44,0.305,-11.271,Spain
BITTERSUITE,Billie Eilish,HIT ME HARD AND SOFT,80,7DpUoxGSdlDHfqCYj0otzU,7DpUoxGSdlDHfqCYj0otzU,0.254,125.021,0.521,-14.409,United States
